Type,T_MtoP,T_PtoI,T_ItoD,I_MtoP,I_PtoI,I_ItoD,M_MtoP,M_PtoI,M_ItoD,R_MtoP,R_PtoI,R_ItoD,P_MtoP,P_PtoI,P_ItoD
4,0,0.825941145,0.921409965,0.965293586,0.992907703,0.994634688,0.490771115,0.025937766,0.688612223,0.528563738,0.037634999,0.680304348,0.472166359,0.050760448,0.702874243
4,0,0.826082706,0.924109221,0.965183616,0.99288708,0.994618177,0.491282791,0.025967509,0.688453674,0.529193044,0.037861556,0.680177331,0.472369313,0.050826311,0.702830315
4,0,0.826134801,0.926403165,0.964972973,0.992877364,0.994608164,0.491737783,0.025987178,0.688309908,0.529536307,0.037811965,0.680039287,0.472838014,0.050874889,0.702690125
4,0,0.826313257,0.928828597,0.964678228,0.992876947,0.994604468,0.492151976,0.026005775,0.688178182,0.529881299,0.03765884,0.679859996,0.472871333,0.050879598,0.70268029
4,0,0.826843441,0.932436585,0.964370251,0.992877066,0.994600773,0.492538869,0.026022494,0.688055634,0.530156612,0.037494123,0.679699838,0.473453879,0.050807685,0.702460647
4,0,0.827376902,0.934466481,0.964017212,0.992897153,0.994611144,0.492895961,0.026038557,0.68794179,0.530369163,0.037292778,0.679547012,0.474595189,0.050654083,0.702024519
4,0,0.828070879,0.935993791,0.963606894,0.992922902,0.994625866,0.493231088,0.026052922,0.687836289,0.53075099,0.037106663,0.679342389,0.474708498,0.050556213,0.701948881
4,0,0.828770757,0.937012553,0.963222802,0.992959619,0.994649827,0.493541956,0.026066363,0.687737644,0.531139553,0.037016541,0.679172397,0.474743128,0.050495714,0.701914191
4,0,0.829720497,0.938975096,0.962957799,0.992984354,0.994665623,0.494021863,0.026022583,0.687559068,0.531562269,0.036802262,0.678941607,0.474767804,0.050478131,0.701898992
4,0,0.830659091,0.940777302,0.962778926,0.993004203,0.994678617,0.494666398,0.026000887,0.687335253,0.532358408,0.036437452,0.678521752,0.474854499,0.050439686,0.701858759
4,0,0.832079411,0.943134665,0.962669432,0.993011117,0.994682491,0.495027661,0.025942177,0.687190711,0.533409417,0.036155462,0.678047359,0.475118279,0.050307453,0.701723635
4,0,0.832966328,0.94524765,0.962547421,0.993009329,0.99467963,0.496254265,0.025884062,0.686756134,0.534151316,0.035851538,0.677670002,0.476170421,0.050053835,0.701287985
4,0,0.833558798,0.945034802,0.962430298,0.992997766,0.994669676,0.497427464,0.025839448,0.686343074,0.535000265,0.035662293,0.677301466,0.477368623,0.049696237,0.700763226
4,0,0.834074259,0.94513011,0.962229252,0.992981851,0.99465543,0.498475432,0.025799096,0.685974598,0.53625989,0.035428643,0.676770627,0.477673262,0.049548566,0.700611651
